fir_id,name,age,gender,category
46,Abdul Rahim,28,Male,GENERAL
47,Margaret D'Souza,69,Female,SENIOR_CITIZEN
48,Sunitha R.,65,Male,SENIOR_CITIZEN
49,Sita Gowda,27,Female,WOMAN
50,Margaret D'Souza,25,Male,GENERAL
51,Kiran K.,66,Female,SENIOR_CITIZEN
52,Vijay Patil,50,Female,WOMAN
53,Sunitha R.,45,Female,WOMAN
54,Priya Nayak,21,Male,GENERAL
55,Sita Gowda,22,Female,WOMAN
56,Margaret D'Souza,51,Male,GENERAL
57,Margaret D'Souza,25,Male,GENERAL
58,Margaret D'Souza,64,Female,SENIOR_CITIZEN
59,Sita Gowda,50,Female,WOMAN
60,Ananya Hegde,43,Female,WOMAN
61,Ramesh Kumar,49,Female,WOMAN
62,Vijay Patil,42,Female,WOMAN
63,Mohammad Ali,46,Female,WOMAN
64,Ramesh Kumar,71,Male,SENIOR_CITIZEN
65,Ramesh Kumar,44,Female,WOMAN
66,Priya Nayak,74,Male,SENIOR_CITIZEN
67,Priya Nayak,63,Female,SENIOR_CITIZEN
68,Ramesh Kumar,61,Female,SENIOR_CITIZEN
69,Vijay Patil,59,Female,WOMAN
70,Priya Nayak,53,Male,GENERAL
71,Vijay Patil,64,Male,SENIOR_CITIZEN
72,Mohammad Ali,45,Male,GENERAL
73,Mohammad Ali,30,Male,GENERAL
74,Margaret D'Souza,36,Male,GENERAL
75,Ramesh Kumar,57,Male,GENERAL
76,Sunitha R.,38,Male,GENERAL
77,Ananya Hegde,30,Female,WOMAN
78,Margaret D'Souza,28,Female,WOMAN
79,Sita Gowda,37,Male,GENERAL
80,Kiran K.,62,Female,SENIOR_CITIZEN
81,Vijay Patil,35,Male,GENERAL
82,Ramesh Kumar,70,Female,SENIOR_CITIZEN
83,Ramesh Kumar,50,Female,WOMAN
84,Sunitha R.,70,Male,SENIOR_CITIZEN
85,Priya Nayak,64,Female,SENIOR_CITIZEN
86,Margaret D'Souza,49,Female,WOMAN
87,Abdul Rahim,40,Female,WOMAN
88,Mohammad Ali,46,Female,WOMAN
89,Ramesh Kumar,72,Female,SENIOR_CITIZEN
90,Ananya Hegde,69,Male,SENIOR_CITIZEN
91,Margaret D'Souza,38,Male,GENERAL
92,Ramesh Kumar,23,Male,GENERAL
93,Ananya Hegde,31,Female,WOMAN
94,Ramesh Kumar,48,Male,GENERAL
95,Sunitha R.,49,Female,WOMAN
96,Margaret D'Souza,72,Female,SENIOR_CITIZEN
97,Kiran K.,73,Female,SENIOR_CITIZEN
98,Vijay Patil,25,Female,WOMAN
99,Ramesh Kumar,31,Female,WOMAN
100,Kiran K.,27,Female,WOMAN
101,Margaret D'Souza,36,Female,WOMAN
102,Mohammad Ali,59,Male,GENERAL
103,Vijay Patil,32,Female,WOMAN
104,Margaret D'Souza,58,Female,WOMAN
105,Priya Nayak,70,Female,SENIOR_CITIZEN
106,Sita Gowda,48,Female,WOMAN
107,Abdul Rahim,37,Male,GENERAL
108,Ramesh Kumar,46,Female,WOMAN
109,Sita Gowda,21,Female,WOMAN
110,Sunitha R.,23,Male,GENERAL
111,Margaret D'Souza,59,Female,WOMAN
112,Vijay Patil,30,Female,WOMAN
113,Mohammad Ali,57,Female,WOMAN
114,Mohammad Ali,24,Female,WOMAN
115,Vijay Patil,42,Female,WOMAN
116,Kiran K.,73,Male,SENIOR_CITIZEN
117,Ramesh Kumar,47,Female,WOMAN
118,Sita Gowda,65,Female,SENIOR_CITIZEN
119,Ramesh Kumar,57,Male,GENERAL
120,Abdul Rahim,39,Female,WOMAN
121,Margaret D'Souza,69,Female,SENIOR_CITIZEN
122,Kiran K.,56,Male,GENERAL
123,Ananya Hegde,34,Male,GENERAL
124,Sunitha R.,40,Male,GENERAL
125,Sita Gowda,63,Male,SENIOR_CITIZEN
126,Vijay Patil,63,Male,SENIOR_CITIZEN
127,Margaret D'Souza,64,Male,SENIOR_CITIZEN
128,Abdul Rahim,45,Female,WOMAN
129,Sita Gowda,44,Male,GENERAL
130,Abdul Rahim,21,Male,GENERAL
131,Vijay Patil,34,Female,WOMAN
132,Sunitha R.,52,Female,WOMAN
133,Sunitha R.,23,Male,GENERAL
134,Kiran K.,69,Female,SENIOR_CITIZEN
135,Sita Gowda,23,Male,GENERAL
136,Sita Gowda,70,Male,SENIOR_CITIZEN
137,Ananya Hegde,55,Female,WOMAN
138,Sunitha R.,57,Male,GENERAL
139,Sunitha R.,36,Male,GENERAL
140,Sunitha R.,68,Male,SENIOR_CITIZEN
141,Kiran K.,32,Female,WOMAN
142,Sita Gowda,48,Male,GENERAL
143,Margaret D'Souza,69,Female,SENIOR_CITIZEN
144,Margaret D'Souza,36,Male,GENERAL
145,Ananya Hegde,20,Male,GENERAL
146,Abdul Rahim,21,Male,GENERAL
147,Vijay Patil,62,Female,SENIOR_CITIZEN
148,Priya Nayak,30,Male,GENERAL
149,Margaret D'Souza,38,Male,GENERAL
150,Mohammad Ali,59,Female,WOMAN
151,Sunitha R.,37,Male,GENERAL
152,Priya Nayak,70,Male,SENIOR_CITIZEN
153,Vijay Patil,33,Female,WOMAN
154,Margaret D'Souza,67,Male,SENIOR_CITIZEN
155,Mohammad Ali,19,Female,WOMAN
156,Ramesh Kumar,60,Male,GENERAL
157,Sita Gowda,25,Female,WOMAN
158,Mohammad Ali,72,Male,SENIOR_CITIZEN
159,Mohammad Ali,24,Female,WOMAN
160,Kiran K.,42,Female,WOMAN
161,Sita Gowda,72,Male,SENIOR_CITIZEN
162,Ananya Hegde,51,Male,GENERAL
163,Kiran K.,29,Male,GENERAL
164,Ramesh Kumar,29,Female,WOMAN
165,Ananya Hegde,69,Male,SENIOR_CITIZEN
166,Sita Gowda,47,Male,GENERAL
167,Priya Nayak,23,Female,WOMAN
168,Ramesh Kumar,55,Female,WOMAN
169,Margaret D'Souza,49,Male,GENERAL
170,Sita Gowda,35,Female,WOMAN
171,Mohammad Ali,48,Male,GENERAL
172,Priya Nayak,29,Female,WOMAN
173,Kiran K.,29,Male,GENERAL
174,Priya Nayak,48,Female,WOMAN
175,Ramesh Kumar,31,Male,GENERAL
176,Mohammad Ali,72,Male,SENIOR_CITIZEN
177,Priya Nayak,72,Male,SENIOR_CITIZEN
178,Sunitha R.,57,Male,GENERAL
179,Ramesh Kumar,75,Female,SENIOR_CITIZEN
180,Kiran K.,33,Female,WOMAN
181,Vijay Patil,34,Female,WOMAN
182,Abdul Rahim,21,Female,WOMAN
183,Ramesh Kumar,24,Male,GENERAL
184,Abdul Rahim,74,Female,SENIOR_CITIZEN
185,Abdul Rahim,38,Male,GENERAL
186,Ananya Hegde,68,Female,SENIOR_CITIZEN
187,Sunitha R.,62,Female,SENIOR_CITIZEN
188,Priya Nayak,24,Male,GENERAL
189,Vijay Patil,24,Female,WOMAN
190,Margaret D'Souza,74,Male,SENIOR_CITIZEN
191,Margaret D'Souza,39,Male,GENERAL
192,Sita Gowda,52,Male,GENERAL
193,Vijay Patil,40,Female,WOMAN
194,Ananya Hegde,49,Female,WOMAN
195,Margaret D'Souza,29,Male,GENERAL
196,Sita Gowda,43,Female,WOMAN
197,Abdul Rahim,27,Female,WOMAN
198,Vijay Patil,67,Female,SENIOR_CITIZEN
199,Mohammad Ali,36,Male,GENERAL
200,Vijay Patil,35,Male,GENERAL
201,Sunitha R.,65,Male,SENIOR_CITIZEN
202,Vijay Patil,61,Male,SENIOR_CITIZEN
203,Margaret D'Souza,35,Female,WOMAN
204,Sita Gowda,18,Male,GENERAL
205,Mohammad Ali,43,Male,GENERAL
206,Vijay Patil,73,Male,SENIOR_CITIZEN
207,Priya Nayak,22,Male,GENERAL
208,Sita Gowda,63,Female,SENIOR_CITIZEN
209,Vijay Patil,44,Female,WOMAN
210,Margaret D'Souza,45,Male,GENERAL
211,Sita Gowda,36,Male,GENERAL
212,Priya Nayak,72,Male,SENIOR_CITIZEN
213,Mohammad Ali,62,Female,SENIOR_CITIZEN
214,Mohammad Ali,46,Female,WOMAN
215,Ananya Hegde,73,Female,SENIOR_CITIZEN
216,Vijay Patil,28,Female,WOMAN
217,Mohammad Ali,25,Male,GENERAL
218,Ramesh Kumar,63,Male,SENIOR_CITIZEN
219,Abdul Rahim,60,Female,WOMAN
220,Sunitha R.,40,Female,WOMAN
221,Vijay Patil,24,Male,GENERAL
222,Ramesh Kumar,39,Female,WOMAN
223,Ramesh Kumar,37,Male,GENERAL
224,Vijay Patil,74,Male,SENIOR_CITIZEN
225,Kiran K.,37,Male,GENERAL
226,Abdul Rahim,60,Male,GENERAL
227,Abdul Rahim,62,Male,SENIOR_CITIZEN
228,Margaret D'Souza,21,Female,WOMAN
229,Priya Nayak,26,Female,WOMAN
230,Ananya Hegde,72,Male,SENIOR_CITIZEN
231,Ramesh Kumar,53,Male,GENERAL
232,Margaret D'Souza,45,Female,WOMAN
233,Kiran K.,43,Female,WOMAN
234,Margaret D'Souza,59,Male,GENERAL
235,Abdul Rahim,54,Male,GENERAL
236,Vijay Patil,24,Female,WOMAN
237,Mohammad Ali,37,Female,WOMAN
238,Mohammad Ali,33,Female,WOMAN
239,Sunitha R.,56,Female,WOMAN
240,Mohammad Ali,43,Male,GENERAL
241,Kiran K.,48,Female,WOMAN
242,Kiran K.,41,Male,GENERAL
243,Vijay Patil,69,Female,SENIOR_CITIZEN
244,Sita Gowda,65,Female,SENIOR_CITIZEN
245,Sunitha R.,66,Female,SENIOR_CITIZEN
246,Abdul Rahim,19,Male,GENERAL
247,Ananya Hegde,20,Male,GENERAL
248,Sita Gowda,45,Female,WOMAN
249,Mohammad Ali,20,Female,WOMAN
250,Ananya Hegde,56,Male,GENERAL
